Price.Index.Opening.Value,Price.Index.Max.Value,Price.Index.Min.Value,Price.Index.End.Value,Traded.Volume,Traded.Amount
49879.86,50421.17,49464.67,50217.5,2012211664.41,741079605
50217.5,51002.98,50130.11,51002.98,2078643431.99,741785616
51002.98,51274,49911.32,50071.55,2237987012.36,723857683
50071.55,51217.35,50071.55,51026.08,2495198636.98,1009897581
51026.08,51486.73,50514.76,51017.87,2422512459.57,909996512
51017.87,51284.55,49705,49790.74,2353624457.05,895955285
49790.74,50363.99,49789.17,50286.89,1332014561.18,494056801
50286.89,51147.84,50286.89,51050.87,2425042309.85,716154247
51050.87,51316.96,50451.57,51295.19,2272256642.64,633218431
51295.19,51295.19,50698.62,51016.84,2205166986.58,654246766
51016.84,51863.13,51016.84,51380.65,2257648495.08,799992016
51380.65,51587.61,50922.15,51230.09,1918199378.84,736279232
51230.09,51230.09,50014.77,50400.57,2030088259.99,809873967
50400.57,50400.57,48683.39,48906.95,1169777177.56,437391294
48906.95,50231.36,46857.66,47184.71,2665340914.67,849951532
47184.71,47497.84,45832.17,47456.11,2235710471.3,865163832
47456.11,47456.11,45815.66,46335.05,2075457041.24,821634875
46335.05,47281.44,45855.92,47281.44,2208091215.6,841145173
47281.44,47324.65,46284.54,47298.04,2255224853.86,872350037
47298.04,47810.45,46666.02,46969.89,2221515288.67,760020378
46969.89,48008.78,46969.89,47774.52,1930611859.43,609988355
47774.52,48414.65,47750.15,48135.09,2043182623.06,679851046
48135.09,49143.93,48135.09,48864,2289432123.65,773537575
48864,49148.69,48246.54,48746.03,2393853429.31,791460876
48746.03,49023.44,48003.76,48441.9,1766843712.88,607309107
48441.9,49149.46,48403.45,48775.29,1574106724.21,499757231
48775.29,48775.29,46844.68,47243.23,1855753794.81,591669982
47243.23,47271.06,46112.48,46419.87,1894097557.75,636281119
46419.87,46668.67,45635.88,46114.59,2043954658,764810878
46114.59,46433.3,44798.01,45230.95,1593903124.3,571836698
45230.95,45826.09,44678.51,45801.42,1437551675.98,500824405
45801.42,46032.14,45014.56,45513.5,1642049674.69,513373448
45513.5,46062.31,45081.86,45538.66,1278706186.18,424510265
45538.66,45604.93,44873.95,45350.17,755175339.21,269300980
45350.17,46179.47,45046.44,46083.95,1795241987.02,570667401
46083.95,47898.19,46083.95,47898.19,2123882685.38,724145908
47898.19,49900.87,47898.19,49677.2,3469292986.85,1086286911
49677.2,50237.9,49264.65,50101.98,2331054554.05,844295053
50101.98,50117.46,49228.35,49915.76,1869615107.23,745772133
49915.76,50845.11,49220.74,49591.37,2791026980.34,945233246
49591.37,49789.98,48813.28,49184.95,1975867950.33,621837774
49184.95,49912.18,48750.88,49594.5,1982199483.16,729229278
49594.5,49955.96,49000.8,49386.42,1410562734.69,534352653
49386.42,50402.97,49318.46,50198.39,1691511322.02,531830518
50198.39,50528.29,49760.3,50449.52,1821927058.97,764240724
50449.52,50972.19,50375.96,50817.25,1930042978.8,677532336
50817.25,50932.62,49693.83,49963.21,1533888017.22,605967316
49963.21,50366.79,49908.81,50138.45,1644033795.81,636129028
50138.45,51280.9,50138.45,51280.9,2111971368.22,722030137
51280.9,51695.25,51051.16,51532.52,1716808866.15,653905211
51532.52,51722.69,50999.24,51162.24,1500059356.32,589139887
51162.24,51565.49,51078.97,51460.7,940123990.6,353920549
51460.7,51661.34,51032.37,51661.33,866455647.02,364840827
51661.33,52024.83,51496,51619.41,1192781344.5,427169286
51619.41,52063.22,51314.74,51786.04,1394702468.06,542726798
51786.04,52164.71,51258.26,51668.41,1542886897.97,657219435
51668.41,53155.07,51668.41,52825.02,2215497320.15,794780171
